##  Star in a Box 
## http://lcogt.net/starinabox 
## Data for a 0.2 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0, 0.230, 0.00566, 3314, 0.200
45700.0, 0.232, 0.00575, 3311, 0.200
91400.0, 0.235, 0.00583, 3306, 0.200
137100.0, 0.237, 0.00589, 3298, 0.200
182800.0, 0.240, 0.00594, 3288, 0.200
228500.0, 0.242, 0.00597, 3276, 0.200
274200.0, 0.245, 0.00599, 3261, 0.200
319900.0, 0.248, 0.00600, 3243, 0.200
365600.0, 0.250, 0.00599, 3223, 0.200
411300.0, 0.254, 0.00597, 3200, 0.200
457000.0, 0.257, 0.00593, 3173, 0.200
502700.0, 0.261, 0.00589, 3145, 0.200
548400.0, 0.265, 0.00584, 3115, 0.200
594100.0, 0.269, 0.00579, 3082, 0.200
639800.0, 0.274, 0.00576, 3049, 0.200
685500.0, 0.280, 0.00576, 3017, 0.200
731200.0, 0.288, 0.00585, 2990, 0.200
776900.0, 0.297, 0.00610, 2971, 0.200
822600.0, 0.310, 0.00662, 2969, 0.200
868300.0, 0.329, 0.00769, 2995, 0.200
914000.0, 0.356, 0.00992, 3068, 0.200
916400.0, 0.346, 0.00965, 3089, 0.200
918800.0, 0.337, 0.00940, 3110, 0.200
921200.0, 0.328, 0.00914, 3131, 0.200
923600.0, 0.319, 0.00889, 3153, 0.200
926000.0, 0.310, 0.00866, 3175, 0.200
928400.0, 0.302, 0.00842, 3197, 0.200
930900.0, 0.294, 0.00819, 3219, 0.200
933300.0, 0.286, 0.00797, 3240, 0.200
935700.0, 0.278, 0.00776, 3263, 0.200
938100.0, 0.271, 0.00755, 3285, 0.200
940500.0, 0.263, 0.00735, 3308, 0.200
942900.0, 0.256, 0.00715, 3331, 0.200
945300.0, 0.249, 0.00696, 3354, 0.200
947700.0, 0.242, 0.00677, 3377, 0.200
950100.0, 0.236, 0.00659, 3400, 0.200
952500.0, 0.230, 0.00641, 3424, 0.200
954900.0, 0.223, 0.00624, 3447, 0.200
957300.0, 0.217, 0.00607, 3471, 0.200
959700.0, 0.211, 0.00590, 3495, 0.200
962100.0, 0.206, 0.00575, 3520, 0.200
962100.0, 0.206, 0.00575, 3520, 0.200
962100.0, 0.206, 0.00575, 3520, 0.200
962700.0, 0.206, 0.00578, 3520, 0.200
963300.0, 0.207, 0.00582, 3521, 0.200
963900.0, 0.207, 0.00585, 3522, 0.200
