##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 0.65 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0, 0.606, 0.09290, 4111, 0.650
2896.0, 0.611, 0.09590, 4127, 0.650
5791.0, 0.617, 0.09931, 4145, 0.650
8687.0, 0.622, 0.10323, 4167, 0.650
11580.0, 0.628, 0.10765, 4191, 0.650
14480.0, 0.634, 0.11262, 4218, 0.650
17370.0, 0.640, 0.11825, 4248, 0.650
20270.0, 0.648, 0.12457, 4281, 0.650
23170.0, 0.655, 0.13167, 4314, 0.650
26060.0, 0.664, 0.13967, 4351, 0.650
28960.0, 0.673, 0.14866, 4388, 0.650
31850.0, 0.683, 0.15882, 4428, 0.650
34750.0, 0.695, 0.17037, 4469, 0.650
37640.0, 0.708, 0.18361, 4511, 0.650
40540.0, 0.723, 0.19907, 4554, 0.650
43440.0, 0.741, 0.21757, 4599, 0.650
46330.0, 0.763, 0.24044, 4646, 0.650
49230.0, 0.792, 0.27015, 4697, 0.650
52120.0, 0.831, 0.31117, 4750, 0.650
55020.0, 0.887, 0.37188, 4806, 0.650
57610.0, 0.972, 0.45677, 4834, 0.650
57910.0, 0.987, 0.46979, 4833, 0.650
58070.0, 1.006, 0.48484, 4824, 0.650
58220.0, 1.025, 0.50038, 4816, 0.650
58370.0, 1.045, 0.51654, 4808, 0.650
58520.0, 1.065, 0.53309, 4800, 0.650
58680.0, 1.086, 0.55030, 4792, 0.650
58830.0, 1.107, 0.56794, 4784, 0.650
58980.0, 1.128, 0.58614, 4776, 0.650
59130.0, 1.150, 0.60492, 4768, 0.650
59290.0, 1.172, 0.62445, 4760, 0.650
59440.0, 1.195, 0.64447, 4752, 0.650
59590.0, 1.218, 0.66512, 4744, 0.650
59750.0, 1.242, 0.68644, 4736, 0.650
59900.0, 1.266, 0.70843, 4728, 0.650
60050.0, 1.290, 0.73114, 4721, 0.650
60200.0, 1.315, 0.75457, 4712, 0.649
60360.0, 1.340, 0.77875, 4704, 0.649
60510.0, 1.366, 0.80371, 4697, 0.649
60660.0, 1.393, 0.82947, 4689, 0.649
60810.0, 1.419, 0.85605, 4681, 0.649
60970.0, 1.447, 0.88349, 4673, 0.649
60970.0, 1.447, 0.88349, 4673, 0.649
60970.0, 1.447, 0.88349, 4673, 0.649
60980.0, 1.451, 0.88879, 4673, 0.649
60990.0, 1.460, 0.89950, 4673, 0.649
60990.0, 1.455, 0.89413, 4673, 0.649
61000.0, 1.464, 0.90511, 4673, 0.649
61010.0, 1.469, 0.91054, 4673, 0.649
61020.0, 1.473, 0.91601, 4673, 0.649
61030.0, 1.477, 0.92151, 4674, 0.649
61040.0, 1.482, 0.92704, 4674, 0.649
61050.0, 1.486, 0.93261, 4674, 0.649
61060.0, 1.495, 0.94384, 4674, 0.649
61060.0, 1.490, 0.93821, 4674, 0.649
61070.0, 1.499, 0.94973, 4674, 0.649
61080.0, 1.504, 0.95543, 4674, 0.649
61090.0, 1.508, 0.96117, 4674, 0.649
61100.0, 1.513, 0.96694, 4674, 0.649
61110.0, 1.522, 0.97859, 4674, 0.649
61110.0, 1.517, 0.97275, 4674, 0.649
61120.0, 1.527, 0.98446, 4674, 0.649
61130.0, 1.531, 0.99038, 4674, 0.649
61140.0, 1.536, 0.99655, 4674, 0.649
61150.0, 1.545, 1.00856, 4674, 0.649
61150.0, 1.540, 1.00254, 4674, 0.649
61160.0, 1.550, 1.01461, 4675, 0.649
61170.0, 1.554, 1.02070, 4675, 0.649
61180.0, 1.559, 1.02683, 4675, 0.649
61190.0, 1.568, 1.03920, 4675, 0.649
61190.0, 1.564, 1.03300, 4675, 0.649
61200.0, 1.573, 1.04568, 4675, 0.649
61210.0, 1.578, 1.05196, 4675, 0.649
61220.0, 1.587, 1.06463, 4675, 0.649
61220.0, 1.582, 1.05828, 4675, 0.649
61230.0, 1.592, 1.07103, 4675, 0.649
61240.0, 1.597, 1.07746, 4675, 0.649
61250.0, 1.601, 1.08393, 4675, 0.649
61260.0, 1.611, 1.09724, 4675, 0.649
61260.0, 1.606, 1.09044, 4675, 0.649
61270.0, 1.616, 1.10382, 4675, 0.649
61280.0, 1.626, 1.11712, 4675, 0.649
61280.0, 1.621, 1.11045, 4675, 0.649
61290.0, 1.630, 1.12383, 4675, 0.649
61300.0, 1.635, 1.13058, 4675, 0.649
61310.0, 1.645, 1.14419, 4675, 0.649
61310.0, 1.640, 1.13737, 4675, 0.649
61320.0, 1.650, 1.15107, 4675, 0.649
61330.0, 1.655, 1.15824, 4675, 0.649
61340.0, 1.665, 1.17220, 4675, 0.649
61340.0, 1.660, 1.16520, 4675, 0.649
61350.0, 1.670, 1.17923, 4675, 0.649
61360.0, 1.680, 1.19344, 4675, 0.649
61360.0, 1.675, 1.18631, 4675, 0.649
61370.0, 1.685, 1.20060, 4675, 0.649
61380.0, 1.696, 1.21535, 4675, 0.649
61380.0, 1.690, 1.20781, 4675, 0.649
61390.0, 1.701, 1.22264, 4675, 0.649
61400.0, 1.711, 1.23737, 4675, 0.649
61400.0, 1.706, 1.22999, 4675, 0.649
61410.0, 1.716, 1.24480, 4675, 0.649
61420.0, 1.727, 1.25980, 4675, 0.649
61420.0, 1.721, 1.25228, 4675, 0.649
61430.0, 1.732, 1.26736, 4675, 0.649
61440.0, 1.742, 1.28292, 4675, 0.649
61440.0, 1.737, 1.27526, 4675, 0.649
61450.0, 1.747, 1.29062, 4675, 0.649
61460.0, 1.758, 1.30617, 4674, 0.649
61460.0, 1.753, 1.29837, 4675, 0.649
61470.0, 1.764, 1.31401, 4674, 0.649
61480.0, 1.774, 1.32984, 4674, 0.649
61480.0, 1.769, 1.32190, 4674, 0.649
61490.0, 1.780, 1.33814, 4674, 0.649
61500.0, 1.790, 1.35425, 4674, 0.649
61500.0, 1.785, 1.34617, 4674, 0.649
61510.0, 1.801, 1.37057, 4674, 0.649
61510.0, 1.796, 1.36239, 4674, 0.649
61520.0, 1.807, 1.37880, 4674, 0.649
61530.0, 1.818, 1.39540, 4674, 0.649
61530.0, 1.812, 1.38708, 4674, 0.649
61540.0, 1.829, 1.41254, 4674, 0.649
61540.0, 1.823, 1.40411, 4674, 0.649
61550.0, 1.834, 1.42102, 4674, 0.649
61560.0, 1.845, 1.43814, 4674, 0.649
