##  Star in a Box 
## http://lcogt.net/starinabox 
## Data for a 10 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0, 3.942, 5551.36777, 25206, 10.000
1.2144, 4.040, 5680.67574, 25044, 9.998
2.4293, 4.142, 5827.73775, 24894, 9.995
3.6447, 4.247, 5993.76898, 24751, 9.993
4.8606, 4.359, 6180.16400, 24621, 9.990
6.0771, 4.478, 6388.51619, 24496, 9.988
7.2943, 4.606, 6620.64040, 24367, 9.985
8.512, 4.745, 6878.59912, 24244, 9.981
9.7305, 4.894, 7166.38275, 24110, 9.978
10.9498, 5.059, 7483.41793, 23972, 9.974
12.1699, 5.241, 7832.49272, 23823, 9.970
13.3908, 5.444, 8220.53343, 23659, 9.966
14.6127, 5.673, 8647.68775, 23475, 9.961
15.8357, 5.933, 9120.10839, 23259, 9.956
17.0598, 6.239, 9640.50979, 22999, 9.950
18.2853, 6.607, 10216.44967, 22678, 9.943
19.5122, 7.068, 10849.25707, 22259, 9.936
20.7408, 7.672, 11547.81985, 21702, 9.928
21.8555, 8.418, 12243.34253, 21018, 9.919
22.7436, 9.226, 12841.03412, 20319, 9.911
23.4747, 10.102, 13362.87789, 19611, 9.903
24.4604, 9.391, 16822.86656, 21548, 9.892
24.4625, 9.339, 16873.29891, 21622, 9.892
24.4625, 9.339, 16873.29891, 21622, 9.892
24.4645, 10.266, 16561.51262, 20531, 9.892
24.4665, 11.282, 16251.74502, 19489, 9.892
24.4685, 12.399, 15951.44387, 18505, 9.891
24.4705, 13.627, 15653.08703, 17567, 9.891
24.4725, 14.976, 15363.84793, 16680, 9.891
24.4745, 16.459, 15076.48153, 15834, 9.891
24.4765, 18.088, 14797.89700, 15035, 9.891
24.4785, 19.879, 14521.11618, 14276, 9.891
24.4805, 21.847, 14252.79373, 13552, 9.891
24.4826, 24.010, 13986.20856, 12868, 9.891
24.4846, 26.394, 13724.60961, 12215, 9.891
24.4866, 29.007, 13471.00508, 11598, 9.891
24.4886, 31.879, 13219.04253, 11010, 9.891
24.4906, 35.035, 12974.77992, 10454, 9.891
24.4926, 38.503, 12732.09880, 9927, 9.891
24.4946, 42.316, 12496.83397, 9423, 9.891
24.4966, 46.505, 12263.09238, 8947, 9.891
24.4986, 51.109, 12036.49390, 8494, 9.891
24.5006, 56.169, 11811.36254, 8065, 9.891
24.5026, 61.731, 11590.44205, 7656, 9.890
24.5046, 67.842, 11376.27286, 7269, 9.890
24.5066, 74.559, 11163.49032, 6902, 9.890
24.5086, 81.941, 10957.21037, 6552, 9.890
24.5106, 90.053, 10752.26600, 6222, 9.890
24.5127, 98.992, 10551.15493, 5906, 9.890
24.5147, 108.793, 10356.18977, 5608, 9.890
24.5167, 119.564, 10162.48693, 5324, 9.890
24.5187, 131.401, 9974.70361, 5055, 9.890
24.5207, 144.411, 9788.13611, 4800, 9.889
24.5227, 158.708, 9605.05818, 4556, 9.889
24.5247, 174.421, 9427.57509, 4326, 9.889
24.5267, 191.382, 9253.37153, 4111, 9.889
24.5267, 191.382, 9255.50245, 4111, 9.889
24.5268, 192.265, 9313.22296, 4108, 9.889
24.5269, 193.152, 9371.30343, 4105, 9.889
24.5269, 193.999, 9431.91764, 4102, 9.889
24.527, 194.895, 9490.73834, 4099, 9.889
24.5271, 195.794, 9549.92586, 4096, 9.889
24.5272, 196.653, 9609.48250, 4094, 9.889
24.5273, 197.560, 9671.63727, 4091, 9.889
24.5274, 198.472, 9731.95294, 4088, 9.889
24.5275, 200.263, 9853.71507, 4082, 9.889
24.5275, 199.343, 9792.64475, 4085, 9.889
24.5276, 201.187, 9915.16624, 4079, 9.889
24.5277, 202.069, 9979.29819, 4077, 9.889
24.5278, 203.002, 10041.53254, 4074, 9.889
24.5279, 203.939, 10104.15501, 4071, 9.889
24.528, 204.833, 10167.16800, 4068, 9.889
24.528, 205.779, 10230.57397, 4065, 9.889
24.5281, 206.728, 10296.74601, 4062, 9.889
24.5282, 207.635, 10360.96007, 4059, 9.889
24.5283, 208.593, 10425.57459, 4056, 9.889
24.5284, 209.556, 10490.59208, 4053, 9.889
24.5284, 210.523, 10558.44592, 4050, 9.889
24.5285, 211.446, 10624.29204, 4048, 9.889
24.5286, 212.422, 10690.54879, 4045, 9.889
24.5287, 213.403, 10757.21875, 4042, 9.889
24.5288, 214.338, 10824.30448, 4039, 9.889
24.5288, 215.328, 10894.31680, 4036, 9.889
24.5289, 216.322, 10962.25752, 4034, 9.889
24.529, 217.320, 11030.62194, 4031, 9.889
24.5291, 218.273, 11099.41271, 4028, 9.889
24.5292, 219.280, 11168.63248, 4025, 9.889
24.5292, 220.293, 11240.87193, 4023, 9.889
24.5293, 221.259, 11310.97389, 4020, 9.889
24.5294, 222.280, 11381.51303, 4017, 9.889
24.5295, 223.306, 11452.49208, 4014, 9.889
24.5295, 224.337, 11523.91377, 4011, 9.889
24.5296, 225.320, 11598.45121, 4008, 9.889
24.5297, 226.360, 11670.78316, 4005, 9.889
24.5298, 227.405, 11743.56619, 4002, 9.889
24.5298, 228.455, 11816.80313, 3999, 9.889
24.5299, 229.456, 11893.23499, 3997, 9.889
24.53, 230.515, 11967.40531, 3994, 9.889
24.53, 231.579, 12042.03818, 3991, 9.889
24.5301, 232.595, 12117.13649, 3988, 9.889
24.5302, 233.668, 12192.70314, 3986, 9.889
24.5303, 235.831, 12348.09608, 3980, 9.889
24.5303, 234.747, 12271.56635, 3983, 9.889
24.5304, 236.865, 12425.10307, 3977, 9.889
24.5305, 237.958, 12502.59030, 3975, 9.889
24.5305, 239.056, 12580.56077, 3972, 9.889
24.5306, 240.160, 12661.93268, 3968, 9.889
24.5307, 242.326, 12820.35349, 3963, 9.889
24.5307, 241.213, 12740.89686, 3966, 9.889
24.5308, 243.445, 12900.30564, 3960, 9.889
24.5309, 244.568, 12980.75640, 3957, 9.889
24.531, 245.697, 13064.71680, 3955, 9.889
24.531, 246.774, 13146.19288, 3952, 9.889
24.5311, 247.913, 13228.17708, 3949, 9.889
24.5312, 250.207, 13396.76687, 3944, 9.889
24.5312, 249.058, 13310.67256, 3946, 9.889
24.5313, 251.304, 13480.31374, 3941, 9.889
24.5314, 252.464, 13564.38163, 3938, 9.889
24.5314, 253.630, 13648.97380, 3936, 9.889
24.5315, 255.918, 13822.92654, 3929, 9.889
