##  Star in a Box 
## http://lcogt.net/starinabox 
## Data for a 1 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0, 0.901, 0.93411, 6005, 1.000
90.8365, 0.904, 0.93929, 6005, 1.000
181.673, 0.906, 0.94450, 6005, 1.000
272.509, 0.909, 0.94995, 6005, 1.000
363.346, 0.911, 0.95565, 6005, 1.000
454.182, 0.914, 0.96117, 6006, 1.000
545.019, 0.916, 0.96694, 6006, 1.000
635.855, 0.919, 0.97275, 6006, 1.000
726.692, 0.922, 0.97881, 6008, 1.000
817.528, 0.924, 0.98492, 6009, 1.000
908.365, 0.927, 0.99106, 6009, 1.000
999.201, 0.929, 0.99724, 6010, 1.000
1090.04, 0.932, 1.00369, 6012, 1.000
1180.87, 0.935, 1.01018, 6013, 1.000
1271.71, 0.937, 1.01672, 6015, 1.000
1362.55, 0.940, 1.02353, 6016, 1.000
1453.38, 0.943, 1.03039, 6017, 1.000
1544.22, 0.945, 1.03729, 6019, 1.000
1635.06, 0.948, 1.04448, 6020, 1.000
1725.89, 0.951, 1.05172, 6021, 1.000
1816.73, 0.953, 1.05901, 6024, 1.000
1907.57, 0.956, 1.06660, 6026, 1.000
1998.4, 0.959, 1.07424, 6027, 1.000
2089.24, 0.962, 1.08193, 6030, 1.000
2180.08, 0.965, 1.08993, 6031, 1.000
2270.91, 0.967, 1.09774, 6034, 1.000
2361.75, 0.970, 1.10611, 6037, 1.000
2452.59, 0.973, 1.11429, 6038, 1.000
2543.42, 0.976, 1.12279, 6041, 1.000
2634.26, 0.979, 1.13136, 6044, 1.000
2725.09, 0.982, 1.13999, 6045, 1.000
2815.93, 0.985, 1.14895, 6048, 1.000
2906.77, 0.988, 1.15798, 6051, 1.000
2997.6, 0.991, 1.16735, 6053, 1.000
3088.44, 0.994, 1.17652, 6056, 1.000
3179.28, 0.997, 1.18604, 6059, 1.000
3270.11, 1.000, 1.19591, 6062, 1.000
3360.95, 1.003, 1.20559, 6065, 1.000
3451.79, 1.007, 1.21563, 6067, 1.000
3542.62, 1.010, 1.22603, 6072, 1.000
3633.46, 1.013, 1.23623, 6074, 1.000
3724.3, 1.016, 1.24681, 6077, 1.000
3815.13, 1.020, 1.25748, 6080, 1.000
3905.97, 1.023, 1.26853, 6084, 1.000
3996.81, 1.026, 1.27968, 6087, 1.000
4087.64, 1.030, 1.29092, 6090, 1.000
4178.48, 1.033, 1.30227, 6094, 1.000
4269.31, 1.037, 1.31401, 6097, 1.000
4360.15, 1.040, 1.32587, 6100, 1.000
4450.99, 1.044, 1.33814, 6104, 1.000
4541.82, 1.047, 1.35052, 6107, 1.000
4632.66, 1.051, 1.36301, 6111, 1.000
