##  Star in a Box 
## https://lco.global/starinabox 
## Data for a 30 solar mass star
## Columns are:
## Time, Radius (R_sun), Luminosity (L_sun), Surface Temperature (K), Mass (M_sun)
0.0000, 7.741, 118795.50279, 38690, 30.000
0.2904, 7.954, 121730.66654, 38397, 29.951
0.5811, 8.175, 124882.04446, 38115, 29.898
0.8723, 8.408, 128292.12537, 37844, 29.843
1.1639, 8.656, 131977.53117, 37566, 29.785
1.4560, 8.919, 135925.20604, 37273, 29.723
1.7486, 9.204, 140152.22602, 36974, 29.657
2.0418, 9.517, 144677.16832, 36652, 29.587
2.3355, 9.858, 149520.24500, 36308, 29.511
2.6298, 10.238, 154667.83271, 35934, 29.430
2.9249, 10.664, 160213.82904, 35522, 29.343
3.2206, 11.140, 166073.37055, 35067, 29.249
3.5172, 11.687, 172345.52051, 34554, 29.146
3.8146, 12.323, 178978.14394, 33970, 29.035
4.1130, 13.080, 185994.45632, 33289, 28.912
4.4125, 14.015, 193374.85453, 32479, 28.777
4.7132, 15.223, 201140.71982, 31470, 28.627
4.9775, 16.634, 208209.24052, 30367, 28.478
5.1936, 18.155, 214091.78346, 29268, 28.342
5.3742, 19.811, 219028.18281, 28184, 28.216
5.5286, 21.612, 223202.98586, 27108, 28.097
5.6633, 23.583, 226829.74262, 26056, 27.983
5.9491, 22.909, 257750.78700, 27290, 27.718
5.9515, 22.228, 259836.40568, 27765, 27.716
5.9515, 21.827, 259836.40568, 28016, 27.716
5.9518, 23.994, 259836.40568, 26724, 27.715
5.9520, 26.369, 259896.24211, 25492, 27.715
5.9522, 28.987, 259956.09232, 24316, 27.714
5.9524, 31.857, 259956.09232, 23195, 27.714
5.9526, 35.019, 260015.95632, 22126, 27.713
5.9528, 38.495, 260075.83410, 21106, 27.713
5.9530, 42.306, 260075.83410, 20128, 27.712
5.9532, 46.505, 260135.72567, 19200, 27.712
5.9534, 51.109, 260195.63103, 18315, 27.711
5.9536, 56.182, 260195.63103, 17470, 27.711
5.9538, 61.759, 260255.55018, 16665, 27.710
5.9540, 67.873, 260315.48314, 15896, 27.710
5.9542, 74.611, 260375.42989, 15164, 27.709
5.9544, 82.016, 260375.42989, 14461, 27.709
5.9546, 90.136, 260435.39046, 13794, 27.708
5.9549, 99.083, 260495.36482, 13158, 27.708
5.9551, 108.893, 260495.36482, 12552, 27.707
5.9553, 119.702, 260555.35300, 11973, 27.706
5.9555, 131.583, 260615.35500, 11421, 27.705
5.9557, 144.611, 260615.35500, 10894, 27.704
5.9559, 158.964, 260675.37081, 10390, 27.703
5.9561, 174.743, 260735.40045, 9911, 27.702
5.9563, 192.044, 260735.40045, 9454, 27.701
5.9565, 211.106, 260795.44390, 9018, 27.700
